top_k,cumulative_rows,share_total_rows_captured,mean_cumulative_rows_per_doc,median_cumulative_rows_per_doc,share_docs_with_any_output
1,594,0.16041047799081826,3.2459016393442623,2.0,0.7049180327868853
2,1229,0.3318930596813395,6.715846994535519,5.0,0.8907103825136612
3,1883,0.5085066162570888,10.289617486338798,8.0,0.9398907103825137
4,2277,0.6149068322981367,12.442622950819672,11.0,0.9453551912568307
5,2607,0.7040237645152579,14.245901639344263,12.0,0.9508196721311475
6,2940,0.7939508506616257,16.065573770491802,13.0,0.9617486338797814
7,3242,0.875506346205779,17.715846994535518,13.0,0.9617486338797814
8,3393,0.9162840939778558,18.540983606557376,13.0,0.9617486338797814
9,3522,0.9511207129354577,19.24590163934426,14.0,0.9617486338797814
10,3589,0.9692141506886308,19.612021857923498,14.0,0.9672131147540983
11,3619,0.9773156899810964,19.775956284153004,14.0,0.9672131147540983
12,3703,1.0,20.23497267759563,14.0,0.9672131147540983
