retrieval_rank,n_calls,mean_elapsed_s,median_elapsed_s,mean_total_tokens_api,total_rows_normalized,mean_rows_normalized,median_rows_normalized,share_nonzero_chunks,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw
1,183,3.6374014535519126,2.87081,1894.5901639344263,594,3.2459016393442623,2.0,0.7049180327868853,0.9398058871102464,8.964321619825936,0.6304850366597619
2,183,3.783407923497268,3.027613,1913.8469945355191,635,3.469945355191257,2.0,0.7377049180327869,0.8374445728265523,7.877511738916564,0.6134304896078474
3,183,3.8372832622950823,3.035402,1889.8196721311476,654,3.5737704918032787,3.0,0.6721311475409836,0.7209739550703862,6.968132463309283,0.586153097654301
4,175,3.359056897142857,2.790411,1666.6971428571428,394,2.2514285714285713,0.0,0.4342857142857143,0.5790426908220564,5.7757918517930165,0.5522807930197035
5,163,3.146817374233129,2.496512,1553.9693251533743,330,2.0245398773006134,0.0,0.3558282208588957,0.4806787058871034,4.654878726583317,0.529764595664352
6,140,3.2456215,2.6531735000000003,1630.7214285714285,333,2.3785714285714286,0.0,0.36428571428571427,0.4211350332147309,4.318053224736026,0.508371076732874
7,121,3.199496909090909,2.54425,1574.5867768595042,302,2.4958677685950414,0.0,0.3140495867768595,0.3397866871490813,3.9879170009666236,0.470769652650376
8,93,2.8808304623655916,2.371684,1531.5376344086021,151,1.6236559139784945,0.0,0.21505376344086022,0.32157253642736744,3.8304672524413115,0.46861380739237674
9,66,3.212639227272727,2.5375085,1542.7878787878788,129,1.9545454545454546,0.0,0.30303030303030304,0.3132588152322128,3.461430610580878,0.46185943574616406
10,49,2.6796317755102037,2.219096,1524.8367346938776,67,1.3673469387755102,0.0,0.1836734693877551,0.3136728630990398,3.5147951208815282,0.4548192471265793
11,40,2.512335225,1.96008,1559.075,30,0.75,0.0,0.1,0.2998785153962672,3.6811848573386667,0.44293462485074997
12,36,2.8794086388888886,1.944677,1520.611111111111,84,2.3333333333333335,0.0,0.1388888888888889,0.2521420931702273,3.021819500459565,0.4296143675843875
