company,report_year,benchmark_activity,benchmark_code,bench_objective,matched_step,rag_activity,rag_code,rag_label,why
"ACS, Actividades de Construcción y Servicios, S.A.",2023,electricity generation using solar photovoltaic technology,4.1,CCM,Step1,Electricity generation using solar photovoltaic technology,4.1,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,storage of electricity,4.10,CCM,Step1,Storage of electricity,4.10,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,electricity generation from wind power,4.3,CCM,Step1,Electricity generation from wind power,4.3,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,electricity generation from hydropower,4.5 /4.5,CCM / CCA,Step1,Electricity generation from hydropower,4.5,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,transmission and distribution of electricity,4.9,CCM,Step1,Transmission and distribution of electricity,4.9,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,construction extension and operation of water collection treatment and supply systems,5.1,CCM,Step1,"Construction, extension and operation of water collection, treatment and supply systems",5.1,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,renewal of water collection treatment and supply systems,5.2,CCM,Step1,"Renewal of water collection, treatment and supply systems",5.2,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,construction extension and operation of waste water collection and treatment,5.3,CCM,Step1,"Construction, extension and operation of waste water collection and treatment",5.3,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,infrastructure for personal mobility cycle logistics,6.13,CCM,Step1,"Infrastructure for personal mobility, cycle logistics",6.13,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,infrastructure for rail transport,6.14,CCM,Step1,Infrastructure for rail transport,6.14,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,infrastructure enabling low carbon road transport and public transport,6.15,CCM,Step1,Infrastructure enabling low-carbon road transport and public transport,6.15,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,infrastructure enabling low carbon water transport,6.16,CCM,Step1,Infrastructure enabling low carbon water transport,6.16,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,low carbon airport infrastructure,6.17,CCM,Step1,Low carbon airport infrastructure,6.17,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,construction of new buildings,7.1 /7.1 /3.1,CCM,Step1,Construction of new buildings,7.1,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,renovation of existing buildings,7.2,CCM,Step1,Renovation of existing buildings,7.2,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,installation maintenance and repair of renewable energy technologies,7.6,CCM,Step1,"Installation, maintenance and repair of renewable energy technologies",7.6,CCM,Same normalized sub-activity code and objective label.
"ACS, Actividades de Construcción y Servicios, S.A.",2023,renewal of waste water collection and treatment,2.2,WTR,Step3,Renewal of waste water collection and treatment,5.4,CCM,"Same normalized activity text, but no structured code match."
"ACS, Actividades de Construcción y Servicios, S.A.",2023,flood risk prevention and protection infrastructure,14.2,CCA,Unmatched,,,,No match across the four-step protocol.
