company,report_year,retrieval_rank,chunk_id,start_page,end_page,elapsed_s,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_rows_normalized,retrieval_score_hybrid,retrieval_score_bm25_raw,retrieval_score_emb_raw,attempt_used
ENI S.P.A.,2024,1,12,248,248,17.572701,1829,937,2766,16,0.9804461002349854,13.480917930603027,0.6141491532325745,1
HOCHTIEF AG,2023,6,26,212,212,15.741978,2015,1044,3059,19,0.9035542011260986,17.37683868408203,0.6200588941574097,1
HOCHTIEF AG,2023,1,29,214,214,14.453498,2015,925,2940,19,0.9673292636871338,18.26715850830078,0.6534583568572998,1
ProSiebenSat.1 Media SE,2023,1,10,72,72,14.444261,2035,887,2922,14,0.9750142097473145,17.004362106323242,0.6232428550720215,1
ENI S.P.A.,2024,6,15,251,252,14.030085,1801,500,2301,6,0.7123791575431824,9.87465763092041,0.5615924596786499,1
HOCHTIEF AG,2023,7,22,210,210,13.522175,2014,860,2874,20,0.8577022552490234,15.816507339477539,0.6279966831207275,1
K+S Aktiengesellschaft,2023,5,26,106,106,12.985244,1993,633,2626,0,0.7798560857772827,15.476615905761719,0.6114514470100403,1
Allianz SE,2023,1,39,107,107,12.965329,1884,812,2696,16,0.8965849876403809,16.111974716186523,0.5241101980209351,1
Savencia,2023,1,1,36,36,12.910594,1664,749,2413,16,0.9113205075263977,14.512868881225586,0.513322651386261,1
Vonovia SE,2023,2,4,54,55,12.789936,1781,701,2482,7,0.7858784198760986,18.235261917114258,0.5705032348632812,1
SCHNEIDER ELECTRIC SE,2024,7,2,194,194,12.473698,1447,708,2155,16,0.5491906404495239,5.8331427574157715,0.6063891053199768,1
SCHNEIDER ELECTRIC SE,2024,2,4,196,197,12.465108,1807,694,2501,16,0.7495460510253906,8.594260215759277,0.671420693397522,1
NORMA Group SE,2023,3,55,94,94,12.446611,2026,819,2845,9,0.9495717287063599,27.524097442626953,0.5891351103782654,1
HENKEL AG & CO. KGAA,2024,4,3,124,126,12.171417,1785,413,2198,6,0.4664663076400757,5.296046257019043,0.5617073178291321,1
SCHNEIDER ELECTRIC SE,2024,8,1,192,193,11.875007,1829,632,2461,14,0.5231872797012329,6.578353404998779,0.5482935309410095,1
Allianz SE,2023,2,37,106,106,11.621721,1760,508,2268,6,0.859688401222229,15.54706859588623,0.5130118727684021,1
Bayer AG,2023,4,16,70,70,11.615091,2025,412,2437,7,0.8114997148513794,16.705034255981445,0.5977520942687988,1
ENI S.P.A.,2024,2,14,250,250,11.602807,1695,679,2374,17,0.9800032377243042,13.805869102478027,0.6042704582214355,1
SCHNEIDER ELECTRIC SE,2024,3,7,200,201,11.467559,1968,740,2708,19,0.7038877606391907,8.40559196472168,0.6367780566215515,1
NORMA Group SE,2023,1,59,98,98,11.427109,2025,576,2601,5,0.9770777225494385,27.566438674926758,0.6139370799064636,1
ENI S.P.A.,2024,3,10,246,246,11.223968,1673,573,2246,17,0.9797942638397217,13.873529434204102,0.602144181728363,1
Flughafen Wien AG,2023,1,9,65,67,11.111034,1705,614,2319,9,0.914535641670227,22.1064510345459,0.5457409620285034,1
Vonovia SE,2023,8,5,55,57,11.060689,1822,556,2378,11,0.5132304430007935,8.539264678955078,0.558131992816925,1
HEINEKEN HOLDING N.V.,2024,2,3,204,204,11.048312,1677,548,2225,10,0.8789240121841431,6.328497409820557,0.6258215308189392,1
CARREFOUR,2024,5,134,167,168,10.92456,1953,619,2572,10,0.7860082387924194,36.82040023803711,0.6270687580108643,1
